RowName,P,Spring1,Spring2,Spring3,Spring4,Triangles,Spring5,Spring6
36,"(1.6666669845581055, 0.0, -1.6666665077209473)","(36, 37)","(36, 46)","(36, 47)","(36, 45)","(36, 37, 47, 47, 46, 36)","(36, 56)","(36, 38)"
37,"(2.777778148651123, 0.0, -1.6666665077209473)","(37, 38)","(37, 47)","(37, 48)","(37, 46)","(37, 38, 48, 48, 47, 37)","(37, 57)","(37, 39)"
38,"(3.8888893127441406, 0.0, -1.6666665077209473)","(38, 39)","(38, 48)","(38, 49)","(38, 47)","(38, 39, 49, 49, 48, 38)","(38, 58)",()
39,"(5.0, 0.0, -1.6666665077209473)",(),"(39, 49)",(),"(39, 48)",(),"(39, 59)",()
40,"(-5.0, 0.0, -0.5555553436279297)","(40, 41)","(40, 50)","(40, 51)",(),"(40, 41, 51, 51, 50, 40)","(40, 60)","(40, 42)"
41,"(-3.8888888359069824, 0.0, -0.5555553436279297)","(41, 42)","(41, 51)","(41, 52)","(41, 50)","(41, 42, 52, 52, 51, 41)","(41, 61)","(41, 43)"
42,"(-2.777777671813965, 0.0, -0.5555553436279297)","(42, 43)","(42, 52)","(42, 53)","(42, 51)","(42, 43, 53, 53, 52, 42)","(42, 62)","(42, 44)"
43,"(-1.6666665077209473, 0.0, -0.5555553436279297)","(43, 44)","(43, 53)","(43, 54)","(43, 52)","(43, 44, 54, 54, 53, 43)","(43, 63)","(43, 45)"
44,"(-0.5555553436279297, 0.0, -0.5555553436279297)","(44, 45)","(44, 54)","(44, 55)","(44, 53)","(44, 45, 55, 55, 54, 44)","(44, 64)","(44, 46)"
45,"(0.5555558204650879, 0.0, -0.5555553436279297)","(45, 46)","(45, 55)","(45, 56)","(45, 54)","(45, 46, 56, 56, 55, 45)","(45, 65)","(45, 47)"
46,"(1.6666669845581055, 0.0, -0.5555553436279297)","(46, 47)","(46, 56)","(46, 57)","(46, 55)","(46, 47, 57, 57, 56, 46)","(46, 66)","(46, 48)"
47,"(2.777778148651123, 0.0, -0.5555553436279297)","(47, 48)","(47, 57)","(47, 58)","(47, 56)","(47, 48, 58, 58, 57, 47)","(47, 67)","(47, 49)"
48,"(3.8888893127441406, 0.0, -0.5555553436279297)","(48, 49)","(48, 58)","(48, 59)","(48, 57)","(48, 49, 59, 59, 58, 48)","(48, 68)",()
49,"(5.0, 0.0, -0.5555553436279297)",(),"(49, 59)",(),"(49, 58)",(),"(49, 69)",()
50,"(-5.0, 0.0, 0.5555558204650879)","(50, 51)","(50, 60)","(50, 61)",(),"(50, 51, 61, 61, 60, 50)","(50, 70)","(50, 52)"
51,"(-3.8888888359069824, 0.0, 0.5555558204650879)","(51, 52)","(51, 61)","(51, 62)","(51, 60)","(51, 52, 62, 62, 61, 51)","(51, 71)","(51, 53)"
52,"(-2.777777671813965, 0.0, 0.5555558204650879)","(52, 53)","(52, 62)","(52, 63)","(52, 61)","(52, 53, 63, 63, 62, 52)","(52, 72)","(52, 54)"
53,"(-1.6666665077209473, 0.0, 0.5555558204650879)","(53, 54)","(53, 63)","(53, 64)","(53, 62)","(53, 54, 64, 64, 63, 53)","(53, 73)","(53, 55)"
54,"(-0.5555553436279297, 0.0, 0.5555558204650879)","(54, 55)","(54, 64)","(54, 65)","(54, 63)","(54, 55, 65, 65, 64, 54)","(54, 74)","(54, 56)"
55,"(0.5555558204650879, 0.0, 0.5555558204650879)","(55, 56)","(55, 65)","(55, 66)","(55, 64)","(55, 56, 66, 66, 65, 55)","(55, 75)","(55, 57)"
56,"(1.6666669845581055, 0.0, 0.5555558204650879)","(56, 57)","(56, 66)","(56, 67)","(56, 65)","(56, 57, 67, 67, 66, 56)","(56, 76)","(56, 58)"
57,"(2.777778148651123, 0.0, 0.5555558204650879)","(57, 58)","(57, 67)","(57, 68)","(57, 66)","(57, 58, 68, 68, 67, 57)","(57, 77)","(57, 59)"
58,"(3.8888893127441406, 0.0, 0.5555558204650879)","(58, 59)","(58, 68)","(58, 69)","(58, 67)","(58, 59, 69, 69, 68, 58)","(58, 78)",()
59,"(5.0, 0.0, 0.5555558204650879)",(),"(59, 69)",(),"(59, 68)",(),"(59, 79)",()
60,"(-5.0, 0.0, 1.6666669845581055)","(60, 61)","(60, 70)","(60, 71)",(),"(60, 61, 71, 71, 70, 60)","(60, 80)","(60, 62)"
61,"(-3.8888888359069824, 0.0, 1.6666669845581055)","(61, 62)","(61, 71)","(61, 72)","(61, 70)","(61, 62, 72, 72, 71, 61)","(61, 81)","(61, 63)"
62,"(-2.777777671813965, 0.0, 1.6666669845581055)","(62, 63)","(62, 72)","(62, 73)","(62, 71)","(62, 63, 73, 73, 72, 62)","(62, 82)","(62, 64)"
63,"(-1.6666665077209473, 0.0, 1.6666669845581055)","(63, 64)","(63, 73)","(63, 74)","(63, 72)","(63, 64, 74, 74, 73, 63)","(63, 83)","(63, 65)"
64,"(-0.5555553436279297, 0.0, 1.6666669845581055)","(64, 65)","(64, 74)","(64, 75)","(64, 73)","(64, 65, 75, 75, 74, 64)","(64, 84)","(64, 66)"
65,"(0.5555558204650879, 0.0, 1.6666669845581055)","(65, 66)","(65, 75)","(65, 76)","(65, 74)","(65, 66, 76, 76, 75, 65)","(65, 85)","(65, 67)"
66,"(1.6666669845581055, 0.0, 1.6666669845581055)","(66, 67)","(66, 76)","(66, 77)","(66, 75)","(66, 67, 77, 77, 76, 66)","(66, 86)","(66, 68)"
67,"(2.777778148651123, 0.0, 1.6666669845581055)","(67, 68)","(67, 77)","(67, 78)","(67, 76)","(67, 68, 78, 78, 77, 67)","(67, 87)","(67, 69)"
68,"(3.8888893127441406, 0.0, 1.6666669845581055)","(68, 69)","(68, 78)","(68, 79)","(68, 77)","(68, 69, 79, 79, 78, 68)","(68, 88)",()
69,"(5.0, 0.0, 1.6666669845581055)",(),"(69, 79)",(),"(69, 78)",(),"(69, 89)",()
70,"(-5.0, 0.0, 2.777778148651123)","(70, 71)","(70, 80)","(70, 81)",(),"(70, 71, 81, 81, 80, 70)","(70, 90)","(70, 72)"
71,"(-3.8888888359069824, 0.0, 2.777778148651123)","(71, 72)","(71, 81)","(71, 82)","(71, 80)","(71, 72, 82, 82, 81, 71)","(71, 91)","(71, 73)"
72,"(-2.777777671813965, 0.0, 2.777778148651123)","(72, 73)","(72, 82)","(72, 83)","(72, 81)","(72, 73, 83, 83, 82, 72)","(72, 92)","(72, 74)"
73,"(-1.6666665077209473, 0.0, 2.777778148651123)","(73, 74)","(73, 83)","(73, 84)","(73, 82)","(73, 74, 84, 84, 83, 73)","(73, 93)","(73, 75)"
74,"(-0.5555553436279297, 0.0, 2.777778148651123)","(74, 75)","(74, 84)","(74, 85)","(74, 83)","(74, 75, 85, 85, 84, 74)","(74, 94)","(74, 76)"
75,"(0.5555558204650879, 0.0, 2.777778148651123)","(75, 76)","(75, 85)","(75, 86)","(75, 84)","(75, 76, 86, 86, 85, 75)","(75, 95)","(75, 77)"
76,"(1.6666669845581055, 0.0, 2.777778148651123)","(76, 77)","(76, 86)","(76, 87)","(76, 85)","(76, 77, 87, 87, 86, 76)","(76, 96)","(76, 78)"
77,"(2.777778148651123, 0.0, 2.777778148651123)","(77, 78)","(77, 87)","(77, 88)","(77, 86)","(77, 78, 88, 88, 87, 77)","(77, 97)","(77, 79)"
78,"(3.8888893127441406, 0.0, 2.777778148651123)","(78, 79)","(78, 88)","(78, 89)","(78, 87)","(78, 79, 89, 89, 88, 78)","(78, 98)",()
79,"(5.0, 0.0, 2.777778148651123)",(),"(79, 89)",(),"(79, 88)",(),"(79, 99)",()
80,"(-5.0, 0.0, 3.8888893127441406)","(80, 81)","(80, 90)","(80, 91)",(),"(80, 81, 91, 91, 90, 80)",(),"(80, 82)"
81,"(-3.8888888359069824, 0.0, 3.8888893127441406)","(81, 82)","(81, 91)","(81, 92)","(81, 90)","(81, 82, 92, 92, 91, 81)",(),"(81, 83)"
82,"(-2.777777671813965, 0.0, 3.8888893127441406)","(82, 83)","(82, 92)","(82, 93)","(82, 91)","(82, 83, 93, 93, 92, 82)",(),"(82, 84)"
83,"(-1.6666665077209473, 0.0, 3.8888893127441406)","(83, 84)","(83, 93)","(83, 94)","(83, 92)","(83, 84, 94, 94, 93, 83)",(),"(83, 85)"
84,"(-0.5555553436279297, 0.0, 3.8888893127441406)","(84, 85)","(84, 94)","(84, 95)","(84, 93)","(84, 85, 95, 95, 94, 84)",(),"(84, 86)"
85,"(0.5555558204650879, 0.0, 3.8888893127441406)","(85, 86)","(85, 95)","(85, 96)","(85, 94)","(85, 86, 96, 96, 95, 85)",(),"(85, 87)"
86,"(1.6666669845581055, 0.0, 3.8888893127441406)","(86, 87)","(86, 96)","(86, 97)","(86, 95)","(86, 87, 97, 97, 96, 86)",(),"(86, 88)"
87,"(2.777778148651123, 0.0, 3.8888893127441406)","(87, 88)","(87, 97)","(87, 98)","(87, 96)","(87, 88, 98, 98, 97, 87)",(),"(87, 89)"
88,"(3.8888893127441406, 0.0, 3.8888893127441406)","(88, 89)","(88, 98)","(88, 99)","(88, 97)","(88, 89, 99, 99, 98, 88)",(),()
89,"(5.0, 0.0, 3.8888893127441406)",(),"(89, 99)",(),"(89, 98)",(),(),()
90,"(-5.0, 0.0, 5.0)","(90, 91)",(),(),(),(),(),"(90, 92)"
91,"(-3.8888888359069824, 0.0, 5.0)","(91, 92)",(),(),(),(),(),"(91, 93)"
92,"(-2.777777671813965, 0.0, 5.0)","(92, 93)",(),(),(),(),(),"(92, 94)"
93,"(-1.6666665077209473, 0.0, 5.0)","(93, 94)",(),(),(),(),(),"(93, 95)"
94,"(-0.5555553436279297, 0.0, 5.0)","(94, 95)",(),(),(),(),(),"(94, 96)"
95,"(0.5555558204650879, 0.0, 5.0)","(95, 96)",(),(),(),(),(),"(95, 97)"
96,"(1.6666669845581055, 0.0, 5.0)","(96, 97)",(),(),(),(),(),"(96, 98)"
97,"(2.777778148651123, 0.0, 5.0)","(97, 98)",(),(),(),(),(),"(97, 99)"
98,"(3.8888893127441406, 0.0, 5.0)","(98, 99)",(),(),(),(),(),()
99,"(5.0, 0.0, 5.0)",(),(),(),(),(),(),()
